hash,api_current,name
v3.0.2,0,bos-3.0.2
v3.0.3,0,bos-3.0.3
v3.0.4,0,bos-3.0.4
v3.0.5,0,bos-3.0.5
v3.0.6,0,bos-3.0.6
v3.0.7,0,bos-3.0.7
v3.0.8,1,bos-3.0.8
v3.0.9,1,bos-3.0.9
v3.0.10,1,bos-3.0.10
v3.0.11,1,bos-3.0.11
v3.1.0,1,bos-3.1.0
